"Sample ID","Strain","IR Type","IR Location","Timepoint","Radiaion Dose_cGy","Focus Area","Condition","Description","Gender"
"TRX-BCP-0040","Balb_cJ","pool","pool","pool","na","na","BatchQC","BalbC_Pool","Mix"
"TRX-TE-MSP-0892","Balb_cJ","Xray","na","na","na","FA2","Blinded","TnE_Phase1b_Blinded_FA2","Female"
"TRX-TE-MSP-0618","Balb_cJ","Xray","TBI","130","108","FA2","Training","TnE_Training_1Gy_FA2","Female"
"TRX-TE-MSP-0996","Balb_cJ","Xray","na","na","na","FA2","Blinded","TnE_Phase1b_Blinded_FA2","Male"
"TRX-DIRP-0102","C57BL6","pool","pool","pool","na","na","BatchRef","Diff_IR_Pelts_Pool","Male"
"TRX-XBC-0050","Balb_cJ","Xray","TBI","14","200","na","Control","Xray_Balb_Control","Male"
"TRX-TE-MSP-0648","Balb_cJ","Xray","na","na","na","FA1","Blinded","TnE_Phase1b_Blinded_FA1","Female"
"TRX-TE-MSP-0991","Balb_cJ","Xray","na","na","na","FA2","Blinded","TnE_Phase1b_Blinded_FA2","Male"
"TRX-TE-MSP-0638","Balb_cJ","Xray","TBI","90","433","FA2","Training","TnE_Training_4Gy_FA2","Female"
"TRX-TE-MSP-1001","Balb_cJ","Xray","na","na","na","FA2","Blinded","TnE_Phase1b_Blinded_FA2","Male"
"TRX-BCP-0041","Balb_cJ","pool","pool","pool","na","na","BatchQC","BalbC_Pool","Mix"
"TRX-TE-MSP-0659","Balb_cJ","Xray","na","na","na","FA1","Blinded","TnE_Phase1b_Blinded_FA1","Female"
"TRX-XBC-0041","Balb_cJ","Xray","TBI","1","200","na","Control","Xray_Balb_Control","Male"
"TRX-TE-MSP-1018","Balb_cJ","Xray","na","na","na","FA2","Blinded","TnE_Phase1b_Blinded_FA2","Male"
"TRX-TE-MSP-1024","Balb_cJ","Xray","na","na","na","FA2","Blinded","TnE_Phase1b_Blinded_FA2","Male"
"TRX-TE-MSP-0655","Balb_cJ","Xray","na","na","na","FA1","Blinded","TnE_Phase1b_Blinded_FA1","Female"
"TRX-TE-MSP-0576","Balb_cJ","Control","na","1","0","FA1","Training","TnE_Baseline_0Gy_FA1","Male"
"TRX-TE-MSP-0734","Balb_cJ","Xray","na","na","na","FA1","Blinded","TnE_Phase1b_Blinded_FA1","Female"
"TRX-XBC-0042","Balb_cJ","Control","na","1","0","na","Control","Xray_Balb_Control","Female"
"TRX-BCP-0042","Balb_cJ","pool","pool","pool","na","na","BatchQC","BalbC_Pool","Mix"
"TRX-TE-MSP-0651","Balb_cJ","Xray","na","na","na","FA1","Blinded","TnE_Phase1b_Blinded_FA1","Female"
"TRX-XBC-0080","Balb_cJ","Xray","TBI","14","400","na","Control","Xray_Balb_Control","Male"
"TRX-TE-MSP-1039","Balb_cJ","Xray","na","na","na","FA2","Blinded","TnE_Phase1b_Blinded_FA2","Male"
"TRX-TE-MSP-0588","Balb_cJ","Control","na","90","0","FA2","Training","TnE_Baseline_0Gy_FA2","Male"
"TRX-TE-MSP-0649","Balb_cJ","Xray","na","na","na","FA1","Blinded","TnE_Phase1b_Blinded_FA1","Female"
"TRX-TE-MSP-0975","Balb_cJ","Xray","na","na","na","FA2","Blinded","TnE_Phase1b_Blinded_FA2","Male"
"TRX-TE-MSP-0745","Balb_cJ","Xray","na","na","na","FA1","Blinded","TnE_Phase1b_Blinded_FA1","Male"
"TRX-BCP-0043","Balb_cJ","pool","pool","pool","na","na","BatchQC","BalbC_Pool","Mix"
"TRX-TE-MSP-0867","Balb_cJ","Xray","na","na","na","FA2","Blinded","TnE_Phase1b_Blinded_FA2","Female"
"TRX-DIRP-0104","C57BL6","pool","pool","pool","na","na","BatchRef","Diff_IR_Pelts_Pool","Male"
"TRX-TE-MSP-0966","Balb_cJ","Xray","na","na","na","FA2","Blinded","TnE_Phase1b_Blinded_FA2","Male"
"TRX-TE-MSP-0733","Balb_cJ","Xray","na","na","na","FA1","Blinded","TnE_Phase1b_Blinded_FA1","Female"
"TRX-TE-MSP-0932","Balb_cJ","Xray","na","na","na","FA2","Blinded","TnE_Phase1b_Blinded_FA2","Female"
"TRX-TE-MSP-0826","Balb_cJ","Xray","na","na","na","FA1","Blinded","TnE_Phase1b_Blinded_FA1","Male"
"TRX-TE-MSP-0944","Balb_cJ","Xray","na","na","na","FA2","Blinded","TnE_Phase1b_Blinded_FA2","Male"
"TRX-TE-MSP-0774","Balb_cJ","Xray","na","na","na","FA1","Blinded","TnE_Phase1b_Blinded_FA1","Male"
"TRX-TE-MSP-1017","Balb_cJ","Xray","na","na","na","FA2","Blinded","TnE_Phase1b_Blinded_FA2","Male"
"TRX-TE-MSP-0604","Balb_cJ","Xray","TBI","6","108","FA1","Training","TnE_Training_1Gy_FA1","Male"
"TRX-XBC-0043","Balb_cJ","Xray","TBI","14","400","na","Control","Xray_Balb_Control","Male"
"TRX-TE-MSP-0616","Balb_cJ","Xray","TBI","130","108","FA2","Training","TnE_Training_1Gy_FA2","Male"
"TRX-XBC-0044","Balb_cJ","Xray","TBI","1","200","na","Control","Xray_Balb_Control","Male"
"TRX-TE-MSP-0658","Balb_cJ","Xray","na","na","na","FA1","Blinded","TnE_Phase1b_Blinded_FA1","Female"
"TRX-TE-MSP-0853","Balb_cJ","Xray","na","na","na","FA2","Blinded","TnE_Phase1b_Blinded_FA2","Female"
"TRX-TE-MSP-0905","Balb_cJ","Xray","na","na","na","FA2","Blinded","TnE_Phase1b_Blinded_FA2","Female"
"TRX-DIRP-0105","C57BL6","pool","pool","pool","na","na","BatchRef","Diff_IR_Pelts_Pool","Male"
"TRX-TE-MSP-0748","Balb_cJ","Xray","na","na","na","FA1","Blinded","TnE_Phase1b_Blinded_FA1","Male"
